CLUSTER_ID,user_address,block_time,date_time_part,source_chain_name,source_bridge_contract,destination_chain_name,destination_bridge_contract,currency_symbol,amount_original,total_times,asset_value_from_debank,total_usd_value,active_source_chain_count,active_destination_chain_count,active_transaction_contract_count,active_days_count,active_weeks_count,active_months_count,last_block_time,last_tx_source_chain_name,last_tx_source_bridge_contract,last_tx_destination_chain_name,last_tx_destination_bridge_contract,last_tx_currency_symbol,last_tx_amount_original
1,0x50a927d0a30a2746cfdbe3b94ad708aba595b261,2022-10-27 10:36:31.000 UTC,2022-10-27 10,Polygon,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDC.e,104,15,4335,53654.16,7,8,12,14,11,7,2023-10-25 06:57:35.000 UTC,BNB Chain,0x41d5a04b4e03dc27dc1f5c5a576ad2187bc601af,Arbitrum,0x957a8af7894e76e16db17c2a913496a4e60b7090,MIM,10.99340131
1,0x9beabf0b783428d864f3d544fdb4bd64765a3573,2022-10-27 10:37:05.000 UTC,2022-10-27 10,Polygon,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDC.e,104,15,4721,53624.44,7,8,11,14,11,7,2023-10-25 06:58:20.000 UTC,BNB Chain,0x41d5a04b4e03dc27dc1f5c5a576ad2187bc601af,Arbitrum,0x957a8af7894e76e16db17c2a913496a4e60b7090,MIM,10.99340131
1,0xe425bb181217fb04e71e0bf35ae9a4079ea7ae6c,2022-10-27 10:37:49.000 UTC,2022-10-27 10,Polygon,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDC.e,104,15,4331,53602.01,7,7,11,14,11,7,2023-10-25 06:58:59.000 UTC,BNB Chain,0x41d5a04b4e03dc27dc1f5c5a576ad2187bc601af,Arbitrum,0x957a8af7894e76e16db17c2a913496a4e60b7090,MIM,10.99340131
1,0x832915a0fe8ab349efa2bb2e67c7db77e767c902,2022-10-27 10:41:31.000 UTC,2022-10-27 10,Polygon,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDC.e,104,15,4310,53586.07,7,8,11,14,11,7,2023-10-25 07:00:20.000 UTC,BNB Chain,0x41d5a04b4e03dc27dc1f5c5a576ad2187bc601af,Arbitrum,0x957a8af7894e76e16db17c2a913496a4e60b7090,MIM,10.99340131
1,0xbb8ad50514a512fb4a990db24b79394dbbb6b43f,2022-10-27 10:42:13.000 UTC,2022-10-27 10,Polygon,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDC.e,104,15,4336,53570.55,7,8,12,14,11,7,2023-10-25 06:59:41.000 UTC,BNB Chain,0x41d5a04b4e03dc27dc1f5c5a576ad2187bc601af,Arbitrum,0x957a8af7894e76e16db17c2a913496a4e60b7090,MIM,10.99340131
1,0x79afa27b74e7fe6dcb0ba56655b6c38e3fa686e0,2022-10-27 10:44:17.000 UTC,2022-10-27 10,Polygon,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDC.e,104,14,4344,53419.72,6,7,11,13,10,7,2023-10-25 07:01:02.000 UTC,BNB Chain,0x41d5a04b4e03dc27dc1f5c5a576ad2187bc601af,Arbitrum,0x957a8af7894e76e16db17c2a913496a4e60b7090,MIM,10.99340131
1,0x858a4e87662041c3c658fe3f464582fb96cf5352,2022-10-27 10:45:51.000 UTC,2022-10-27 10,Polygon,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDC.e,104,15,4320,53520.51,7,8,12,14,11,7,2023-10-25 07:01:38.000 UTC,BNB Chain,0x41d5a04b4e03dc27dc1f5c5a576ad2187bc601af,Arbitrum,0x957a8af7894e76e16db17c2a913496a4e60b7090,MIM,10.99340131
1,0x6acffdfc37378ada13943c5e9f494621ecbcfd9a,2022-10-27 10:48:23.000 UTC,2022-10-27 10,Polygon,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDC.e,104,16,4301,53506.09,7,8,11,14,11,7,2023-10-25 07:02:23.000 UTC,BNB Chain,0x41d5a04b4e03dc27dc1f5c5a576ad2187bc601af,Arbitrum,0x957a8af7894e76e16db17c2a913496a4e60b7090,MIM,10.99340131
1,0x4d4646acedf91a3c6affda92454f451cacdf5ed3,2022-10-27 10:49:59.000 UTC,2022-10-27 10,Polygon,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDC.e,104,15,4321,53408.33,7,8,12,14,11,7,2023-10-25 07:03:08.000 UTC,BNB Chain,0x41d5a04b4e03dc27dc1f5c5a576ad2187bc601af,Arbitrum,0x957a8af7894e76e16db17c2a913496a4e60b7090,MIM,10.99340131
1,0xca758a8994f9e42acbc8ca4a4718143d57e397c5,2022-10-27 10:51:27.000 UTC,2022-10-27 10,Polygon,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDC.e,104,15,4303,53376.46,7,8,11,14,11,7,2023-10-25 07:03:47.000 UTC,BNB Chain,0x41d5a04b4e03dc27dc1f5c5a576ad2187bc601af,Arbitrum,0x957a8af7894e76e16db17c2a913496a4e60b7090,MIM,10.99340131
1,0x7df2a3159e4d17c7207bf8bf1cc2872fc4e86a7a,2022-10-27 10:52:51.000 UTC,2022-10-27 10,Polygon,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDC.e,104,15,4304,53348.93,7,7,11,14,11,7,2023-10-25 07:04:29.000 UTC,BNB Chain,0x41d5a04b4e03dc27dc1f5c5a576ad2187bc601af,Arbitrum,0x957a8af7894e76e16db17c2a913496a4e60b7090,MIM,10.99340131
1,0x8ba115bad058793261293b53169874bd22d12350,2022-10-27 10:55:19.000 UTC,2022-10-27 10,Polygon,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDC.e,104,15,4286,53307.19,7,8,11,14,11,7,2023-10-25 07:05:56.000 UTC,BNB Chain,0x41d5a04b4e03dc27dc1f5c5a576ad2187bc601af,Arbitrum,0x957a8af7894e76e16db17c2a913496a4e60b7090,MIM,10.99340131
1,0x4677447327702d23b4c53b3c5f79a1397d99cff6,2022-10-27 10:57:27.000 UTC,2022-10-27 10,Polygon,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDC.e,104,15,4309,53337.52,7,8,12,14,11,7,2023-10-25 07:05:11.000 UTC,BNB Chain,0x41d5a04b4e03dc27dc1f5c5a576ad2187bc601af,Arbitrum,0x957a8af7894e76e16db17c2a913496a4e60b7090,MIM,10.99340131
2,0xbfa81be99cbb83a4900a081c946bcab12c3da7f6,2022-11-14 17:26:52.000 UTC,2022-11-14 17,Arbitrum,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDT,600,80,2254,20760.68,8,18,20,30,13,9,2024-04-04 22:10:37.000 UTC,BNB Chain,0x128aedc7f41ffb82131215e1722d8366faad0cd4,Harmony,0x7ffd57563ef54c464f23b5497dd1f54481e4c008,BNB,2.82E-05
